 0.000	 0.000	 0.000	 0.000	 0.000	-10.000	-10.000	-5.000	-6.000	-3.000	-10.000	-6.000	-8.000	-7.000	-6.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	
 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	 1.000	 1.000	 1.000	 1.000	 1.000	 0.000	
 1.000	 0.000	 0.000	 0.000	 0.000	 10.000	 9.000	 9.000	 6.000	 2.000	 3.000	 3.000	 8.000	 9.000	 5.000	 1.000	 0.000	 0.000	 0.000	 0.000	 6.000	
 0.000	 1.000	 0.000	 0.000	 0.000	 6.000	 3.000	 10.000	 8.000	 10.000	 3.000	 4.000	 9.000	 10.000	 7.000	 0.000	 1.000	 0.000	 0.000	 0.000	 5.000	
 0.000	 0.000	 1.000	 0.000	 0.000	 7.000	 2.000	 10.000	 5.000	 8.000	 4.000	 7.000	 9.000	 10.000	 5.000	 0.000	 0.000	 1.000	 0.000	 0.000	 8.000	
 0.000	 0.000	 0.000	 1.000	 0.000	 8.000	 4.000	 2.000	 9.000	 4.000	 8.000	 7.000	 6.000	 8.000	 7.000	 0.000	 0.000	 0.000	 1.000	 0.000	 6.000	
 0.000	 0.000	 0.000	 0.000	 1.000	 3.000	 10.000	 5.000	 6.000	 6.000	 9.000	 6.000	 3.000	 9.000	 3.000	 0.000	 0.000	 0.000	 0.000	 1.000	 7.000	

 0.000	 0.000	 0.000	 0.000	 0.000	-10.000	-10.000	-5.000	-6.000	-3.000	-10.000	-6.000	-8.000	-7.000	-6.000	 0.000	 0.000	 0.000	 0.000	 0.000	 0.000	
-1.000	-1.000	-1.000	-1.000	-1.000	-34.000	-28.000	-36.000	-34.000	-30.000	-27.000	-27.000	-35.000	-46.000	-27.000	 0.000	 0.000	 0.000	 0.000	 0.000	-32.000	
 1.000	 0.000	 0.000	 0.000	 0.000	 10.000	 9.000	 9.000	 6.000	 2.000	 3.000	 3.000	 8.000	 9.000	 5.000	 1.000	 0.000	 0.000	 0.000	 0.000	 6.000	
 0.000	 1.000	 0.000	 0.000	 0.000	 6.000	 3.000	 10.000	 8.000	 10.000	 3.000	 4.000	 9.000	 10.000	 7.000	 0.000	 1.000	 0.000	 0.000	 0.000	 5.000	
 0.000	 0.000	 1.000	 0.000	 0.000	 7.000	 2.000	 10.000	 5.000	 8.000	 4.000	 7.000	 9.000	 10.000	 5.000	 0.000	 0.000	 1.000	 0.000	 0.000	 8.000	
 0.000	 0.000	 0.000	 1.000	 0.000	 8.000	 4.000	 2.000	 9.000	 4.000	 8.000	 7.000	 6.000	 8.000	 7.000	 0.000	 0.000	 0.000	 1.000	 0.000	 6.000	
 0.000	 0.000	 0.000	 0.000	 1.000	 3.000	 10.000	 5.000	 6.000	 6.000	 9.000	 6.000	 3.000	 9.000	 3.000	 0.000	 0.000	 0.000	 0.000	 1.000	 7.000	

 1.000	 0.000	 0.000	 0.000	 0.000	 0.000	-1.000	 4.000	 0.000	-1.000	-7.000	-3.000	 0.000	 2.000	-1.000	 1.000	 0.000	 0.000	 0.000	 0.000	 6.000	
 2.400	-1.000	-1.000	-1.000	-1.000	 0.000	 2.600	-5.400	-13.600	-23.200	-16.800	-16.800	-7.800	-15.400	-10.000	 3.400	 0.000	 0.000	 0.000	 0.000	-11.600	
 0.100	 0.000	 0.000	 0.000	 0.000	 1.000	 0.900	 0.900	 0.600	 0.200	 0.300	 0.300	 0.800	 0.900	 0.500	 0.100	 0.000	 0.000	 0.000	 0.000	 0.600	
